legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,44.0,59.0,72.0,79.0,90.0,107.0,125.0,152.0,193.0,331.0,462.0,379.0,218.0,135.0,95.0,72.0
bravo    | p=0.55 | alpha=0.05953515625,312.0,554.0,773.0,832.0,855.0,855.0,832.0,773.0,672.0,445.0,308.0,232.0,186.0,154.0,131.0,112.0
bravo    | p=0.52 | alpha=0.15904492187499997,596.0,878.0,929.0,933.0,929.0,913.0,878.0,811.0,707.0,500.0,374.0,296.0,243.0,207.0,180.0,158.0
