legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,968.0,127.0,74.0,52.0,39.0,34.0,29.0
bravo    | p=0.55 | alpha=0.05953515625,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,613.0,428.0,329.0,226.0,171.0,137.0,116.0,100.0,87.0,79.0
bravo    | p=0.52 | alpha=0.15904492187499997,1000.0,1000.0,1000.0,1000.0,1000.0,921.0,658.0,513.0,421.0,309.0,243.0,200.0,172.0,149.0,133.0,119.0
