legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,500.0,500.0,500.0,500.0,500.0,500.0,490.0,481.0,472.0,454.0,436.0,414.0,190.0,123.0,88.0,69.0
bravo_without_replacement | p=0.55 | alpha=0.05,500.0,500.0,500.0,500.0,500.0,500.0,490.0,474.0,389.0,282.0,218.0,179.0,149.0,129.0,111.0,99.0
bravo_without_replacement | p=0.51 | alpha=0.05,500.0,500.0,500.0,500.0,500.0,500.0,478.0,452.0,428.0,386.0,352.0,322.0,297.0,277.0,258.0,241.0
