legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,500.0,500.0,500.0,500.0,496.0,486.0,477.0,468.0,459.0,441.0,418.0,165.0,101.0,71.0,56.0,44.0
bravo_without_replacement | p=0.55 | alpha=0.05,500.0,500.0,500.0,500.0,496.0,485.0,422.0,343.0,292.0,216.0,175.0,145.0,123.0,107.0,96.0,86.0
bravo_without_replacement | p=0.51 | alpha=0.05,500.0,500.0,500.0,500.0,496.0,467.0,441.0,417.0,395.0,358.0,327.0,302.0,278.0,260.0,242.0,228.0
