legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,500.0,500.0,485.0,475.0,464.0,454.0,443.0,426.0,123.0,61.0,41.0,34.0,27.0,24.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.05,500.0,500.0,483.0,369.0,284.0,230.0,199.0,171.0,151.0,123.0,103.0,92.0,82.0,74.0,66.0,60.0
bravo_without_replacement | p=0.51 | alpha=0.05,500.0,500.0,462.0,434.0,409.0,386.0,367.0,349.0,331.0,303.0,280.0,260.0,242.0,227.0,213.0,202.0
