legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,500.0,500.0,500.0,500.0,500.0,499.0,498.0,496.0,491.0,475.0,458.0,441.0,424.0,288.0,188.0,135.0
bravo_without_replacement | p=0.55 | alpha=0.05,500.0,500.0,500.0,500.0,500.0,499.0,498.0,496.0,490.0,428.0,321.0,254.0,208.0,177.0,151.0,131.0
bravo_without_replacement | p=0.51 | alpha=0.05,500.0,500.0,500.0,500.0,500.0,499.0,498.0,495.0,481.0,437.0,397.0,363.0,333.0,306.0,286.0,266.0
