legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,233.0,72.0,47.0,35.0,27.0,24.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,907.0,498.0,351.0,273.0,225.0,166.0,133.0,112.0,97.0,84.0,76.0,70.0
bravo_without_replacement | p=0.51 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,780.0,641.0,546.0,472.0,418.0,374.0,341.0
