legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,14.0,17.0,19.0,19.0,19.0,22.0,22.0,24.0,27.0,32.0,37.0,35.0,27.0,24.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.05,139.0,200.0,265.0,294.0,309.0,307.0,286.0,254.0,221.0,166.0,133.0,112.0,97.0,84.0,76.0,70.0
bravo_without_replacement | p=0.51 | alpha=0.05,860.0,894.0,898.0,896.0,890.0,882.0,870.0,852.0,826.0,749.0,637.0,546.0,472.0,418.0,374.0,341.0
