,0.7,0.58,0.52
0.005,0.0033962239735110993,0.0033962239735110993,0.0033962239735110993
0.015357142857142857,0.011938435858038854,0.011938435858038854,0.011938435858038854
0.025714285714285714,0.020949971667121314,0.020949971667121314,0.020949971667121314
0.03607142857142857,0.030169131190263015,0.030169131190263015,0.030169131190263015
0.04642857142857142,0.03949029085634912,0.03949029085634912,0.03949029085634912
0.05678571428571428,0.04895482826661071,0.04895482826661071,0.04895482826661071
0.06714285714285714,0.05837921875418282,0.05837921875418282,0.05837921875418282
0.0775,0.06790645252172221,0.06790645252172221,0.06790645252172221
0.08785714285714286,0.0774009088814331,0.0774009088814331,0.0774009088814331
0.09821428571428571,0.086878424438649,0.086878424438649,0.086878424438649
0.10857142857142857,0.09662506158211265,0.09662506158211265,0.09662506158211265
0.11892857142857143,0.10613981853499388,0.10613981853499388,0.10613981853499388
0.12928571428571428,0.11574704996378414,0.11574704996378414,0.11574704996378414
0.13964285714285712,0.12528205258912029,0.12528205258912029,0.12528205258912029
0.15,0.1350342301708633,0.1350342301708633,0.1350342301708633
