"","0100000500_w","0100000500_wo","0005000200_w","0005000200_wo"
"clip",0.15,0.15,0.111842105263158,0.134736842105263
"bayes0101",0.00718947368421052,0.00718947368421052,0.00482631578947368,0.00955263157894737
"bayes0104",0.0213684210526316,0.0213684210526316,0.0166421052631579,0.030821052631579
"bayes0109",0.05,0.05,0.045,0.075
"bayes0401",9.9999999999989e-05,9.9999999999989e-05,9.9999999999989e-05,0.00246315789473683
"bayes0901",9.9999999999989e-05,9.9999999999989e-05,9.9999999999989e-05,9.9999999999989e-05
"bravo052",0.15,0.15,0.15,0.15
"bravo058",0.111842105263158,0.111842105263158,0.134736842105263,0.15
"bravo070",0.111842105263158,0.111842105263158,0.111842105263158,0.127105263157895
