,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,60,0.013213463539957374,0.0013452099774217282,0.005683458476055983,0.013213463539957374,0.019485326106413122,0.028119683078393944,0.039730316607805335,0.05498299703513983,0.07456010038805891,0.09911206023433536,0.16521728616266385,0.25547384906669074,0.36763258008342753,0.4941753326100732,0.6233381045580253,0.7420277514922224,0.8395882521125311
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,80,0.00863450362156769,0.0006665020837931333,0.0034162790467196953,0.00863450362156769,0.013096154664938528,0.01926051604013839,0.02747600627193303,0.038029093007630466,0.05107895016512807,0.0665872084087246,0.10347994436202425,0.14270308684495112,0.17441765338972517,0.18850196891468637,0.17950336950002044,0.14987376778460046,0.10900157942551068
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,100,0.006859967775196379,0.000385397169747544,0.0024516478509074018,0.006859967775196379,0.010811966478637693,0.016387604098065375,0.023894715786167402,0.033525382043656675,0.045269298136176875,0.058833915638022746,0.08859635869489685,0.11436096841493035,0.1262202397486294,0.11863475874271301,0.09441029086573403,0.06312172095248338,0.03509819459673865
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,120,0.0022747164582476863,7.722264034843948e-05,0.000682537564465957,0.0022747164582476863,0.003861905049293471,0.0062509187351138485,0.009649546395567908,0.014210050247344336,0.019964905993144322,0.026762797065946104,0.04174795939674633,0.053827738228836505,0.057136445505828054,0.04962711643278713,0.03497562004246884,0.01977926923389998,0.008847028258478511
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,140,0.0025672331898749135,6.189874405904301e-05,0.000688859579541306,0.0025672331898749135,0.0045527731024243845,0.007635469414282459,0.01211472106520668,0.018189555192312214,0.02584754611822116,0.03476220172403587,0.05327008299882568,0.06528738316560773,0.06368795233537076,0.0490934209421838,0.02960675815880486,0.01378588670742407,0.0048725906904615
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,160,0.0022620520256165853,3.926635211445772e-05,0.0005462089522525048,0.0022620520256165853,0.004175255861409703,0.007226787790982877,0.011734467609997213,0.01787913156645531,0.025564580126916692,0.03430199851744205,0.05098401581480763,0.058503849617839054,0.051513370577694034,0.03449304133170805,0.017349303800701904,0.006450055905238905,0.0017360030507055765
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,180,0.001907472522896976,2.3807421397345787e-05,0.00041437841514813014,0.001907472522896976,0.0036644119982280525,0.006545238189690635,0.010874286865630967,0.016808722868098102,0.02417449081610756,0.03234625652066693,0.04657267990787227,0.04995194778008006,0.03961470198224807,0.02297982958032892,0.009608568018303357,0.0028409749886225775,0.0005795315306182564
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,200,0.0015856068586595547,1.4195192069561712e-05,0.00030967288882156305,0.0015856068586595547,0.00317112706611649,0.005846113258098768,0.0099389422766565,0.015585909914585007,0.02254544535976357,0.030078151999865972,0.041930085375140355,0.04199973615420117,0.02996339431753747,0.015033525842095122,0.005214871943591701,0.001223131734771291,0.0001885169530698391
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,220,0.0013112102555922084,8.397480081122638e-06,0.0002300311557771218,0.0013112102555922084,0.0027308297172565937,0.005197331693772456,0.00904312935040297,0.014388134224198802,0.020933344228200104,0.027843731567479203,0.037567398234893794,0.035118361159881234,0.022515062229811696,0.009756950375808645,0.0028027145776351177,0.0005202779409034635,6.041561927610307e-05
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,240,0.0010826340870216423,4.946287335358528e-06,0.00017045948735676546,0.0010826340870216423,0.0023488202810636825,0.004616122223288623,0.00822163966224389,0.01327343771555264,0.019423988566143795,0.02575755846897695,0.03362482241237412,0.02931635698315598,0.01687409452927218,0.006307375826009208,0.0014977262244040962,0.00021955799813741948,1.9155651906245202e-05
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,260,0.0008940153095816845,2.9055207300422983e-06,0.00012621679727531,0.0008940153095816845,0.0020211827653171164,0.004102882694471077,0.0074816116841229545,0.012257708935125747,0.0180427525359991,0.023852371362074746,0.03011817612581875,0.02447581228195053,0.012635794939588036,0.004068551239028766,0.0007972305557051609,9.208681739923278e-05,6.019732639103469e-06
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,280,0.0007389249755297127,1.703328502593297e-06,9.345551688665889e-05,0.0007389249755297127,0.0017414205047833213,0.0036522504430915757,0.006819874503170675,0.011340496035349182,0.016791279463997343,0.022129006108341034,0.027019277395277177,0.020453782986384644,0.009461882742892527,0.002620860708637172,0.0004230449489345676,3.841733668598654e-05,1.8764119052961994e-06
truncated_bayesian | a=1 | b=1 | min_stop=50 | critical_value=0.273444765625,300,0.001310502923492419,2.5803755541501505e-06,0.00015976915797877566,0.001310502923492419,0.0031053094731530034,0.006492467274993208,0.011983012221814289,0.01952782781807458,0.028094462591850736,0.03566802253066442,0.03937605650234158,0.026013525777668665,0.010125536169381794,0.0022718920726382433,0.00028539197037188177,1.9325875467937957e-05,6.720491243315021e-07
