legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.05957031250088085,93.0,109.0,120.0,122.0,122.0,122.0,120.0,118.0,112.0,101.0,89.0,78.0,68.0,59.0,53.0,49.0
bayesian | a=500 | b=500 | critical_value=0.17773437500064454,130.0,142.0,146.0,146.0,146.0,144.0,140.0,136.0,130.0,118.0,104.0,90.0,79.0,71.0,63.0,59.0
bayesian | a=1000 | b=1000 | critical_value=0.24023437500051953,132.0,144.0,146.0,146.0,146.0,144.0,140.0,136.0,130.0,118.0,104.0,92.0,82.0,74.0,66.0,60.0
