,0.7,0.58,0.52
0.005,0.9937498722514793,0.1566073822455125,0.004058137826176655
0.015357142857142857,0.9988886749091325,0.32634104385590607,0.01904179505855466
0.025714285714285714,0.9994819858209368,0.4178571797958818,0.03508234216029808
0.03607142857142857,0.9997105909214349,0.4848805986079404,0.05170087116238959
0.04642857142857142,0.9998230983387755,0.5382551730481865,0.06857472482903414
0.05678571428571428,0.9998885936865396,0.5834339444024369,0.08570924234337088
0.06714285714285714,0.9999128448388784,0.6136283535722841,0.10097662910471458
0.0775,0.999940622196468,0.6469148179691602,0.11786750490969249
0.08785714285714286,0.9999501524830977,0.668294683809014,0.1324083945818283
0.09821428571428571,0.999958801739223,0.688691535979029,0.14712612701262415
0.10857142857142857,0.9999703191007846,0.7120224383776433,0.16322428335920175
0.11892857142857143,0.9999738472410813,0.726509910297764,0.17685677723037635
0.12928571428571428,0.9999779223416919,0.7417726034767715,0.19109688805952174
0.13964285714285712,0.9999807049495741,0.7547456745102983,0.2046433691974358
0.15,0.9999855029122275,0.7711197755411011,0.21979856169776402
