,,0.5,0.52,0.55,0.57,0.59,0.62,0.7
bravo_without_replacement | alpha=0.05 | p=0.55,32,2.107097824783187e-10,7.448916656266511e-10,4.5305100334462055e-09,1.413844974048691e-08,4.336661094672615e-08,2.1378791671786214e-07,1.0582270208000106e-05
bravo_without_replacement | alpha=0.05 | p=0.55,34,1.685947683556854e-09,5.953517127489324e-09,3.5929675775792054e-08,1.110972428185963e-07,3.364099741348891e-07,1.616092975806846e-06,7.138770587587137e-05
bravo_without_replacement | alpha=0.05 | p=0.55,36,7.377200384346794e-09,2.602206783408037e-08,1.5582763258951873e-07,4.774044599395093e-07,1.4271161857886156e-06,6.680626070505731e-06,0.0002633243257188542
bravo_without_replacement | alpha=0.05 | p=0.55,38,2.34000057564667e-08,8.244921274341672e-08,4.89902237455199e-07,1.487099968112936e-06,4.388495743432189e-06,2.0018171257166645e-05,0.0007039960627519893
bravo_without_replacement | alpha=0.05 | p=0.55,40,6.021589625502954e-08,2.1193449104925222e-07,1.2495166681998576e-06,3.7580128347535332e-06,1.094792485436186e-05,4.866110141191149e-05,0.001526704529677592
bravo_without_replacement | alpha=0.05 | p=0.55,42,1.3347280090251126e-07,4.692484110174187e-07,2.745098825521066e-06,8.180057763978852e-06,2.3524658057504478e-05,0.0001018838536887206,0.0028514174684716657
bravo_without_replacement | alpha=0.05 | p=0.55,44,2.64353578412876e-07,9.283556657426588e-07,5.388669904842877e-06,1.5909585396833912e-05,4.516630616023133e-05,0.0001905983041811588,0.004757863165461297
bravo_without_replacement | alpha=0.05 | p=0.55,46,4.793991702611182e-07,1.681687323217617e-06,9.685492411488293e-06,2.8331827631372686e-05,7.939888851140285e-05,0.0003264613558379089,0.007268038102715924
bravo_without_replacement | alpha=0.05 | p=0.55,48,8.098648524310289e-07,2.8377812087943223e-06,1.621667740344957e-05,4.6998832843010736e-05,0.00013001886663528282,0.0005208673135298294,0.010340939172253597
bravo_without_replacement | alpha=0.05 | p=0.55,51,6.411895196069117e-07,2.335514269367524e-06,1.4018707411675157e-05,4.172441694473622e-05,0.00011804049280495734,0.000484486109515946,0.009698122319245366
bravo_without_replacement | alpha=0.05 | p=0.55,53,1.1337101512565855e-06,4.124987676897555e-06,2.4567360701710962e-05,7.244562606074307e-05,0.00020231516382492455,0.000809040670531597,0.01443943845425065
bravo_without_replacement | alpha=0.05 | p=0.55,55,1.7416770480645686e-06,6.3301262855499956e-06,3.7407257237490026e-05,0.00010928928725405205,0.00030127612998425617,0.0011737853556612649,0.018676566637538406
bravo_without_replacement | alpha=0.05 | p=0.55,57,2.5209565681522348e-06,9.152375908635249e-06,5.366389952450827e-05,0.00015533478061222617,0.0004226900604679647,0.001604421490364401,0.02275673483503109
bravo_without_replacement | alpha=0.05 | p=0.55,59,3.508394197328149e-06,1.2723313380920597e-05,7.402028065194287e-05,0.00021227490257582634,0.0005701819959531962,0.002108496201770005,0.026656435800836233
bravo_without_replacement | alpha=0.05 | p=0.55,61,4.73567295868606e-06,1.7155228663407962e-05,9.902534721192323e-05,0.00028135356597568144,0.0007459747301363314,0.002687427339424386,0.030280173327878343
bravo_without_replacement | alpha=0.05 | p=0.55,63,6.231522586783307e-06,2.2549222063819143e-05,0.00012914512500419926,0.0003635288438720841,0.0009513990725870708,0.0033390200115508083,0.033526447906286734
bravo_without_replacement | alpha=0.05 | p=0.55,65,8.021972718502613e-06,2.8996178542028602e-05,0.0001647710986212851,0.0004595083215298467,0.0011870381958408414,0.004058401912581525,0.03630988987666314
bravo_without_replacement | alpha=0.05 | p=0.55,67,1.0130187812145194e-05,3.657622570378111e-05,0.00020621972535147813,0.0005697583585736007,0.0014527964996777702,0.004838598359195401,0.03856960629309021
bravo_without_replacement | alpha=0.05 | p=0.55,69,1.2576247127896803e-05,4.535799754366299e-05,0.00025373095440822755,0.0006945104430811538,0.0017479577177723666,0.005671011068261145,0.04027135232132124
bravo_without_replacement | alpha=0.05 | p=0.55,72,7.637011711889433e-06,2.8637513535954135e-05,0.00016829952539284735,0.0004731297211020756,0.0012177878625047307,0.004047836098155597,0.028965116977284832
bravo_without_replacement | alpha=0.05 | p=0.55,74,1.1120360598511007e-05,4.1654154915809244e-05,0.00024288354222653662,0.0006764555711921116,0.001718560160675301,0.00556440649516985,0.0354655181067712
bravo_without_replacement | alpha=0.05 | p=0.55,76,1.4230440669694095e-05,5.3245759890572425e-05,0.0003080450142637227,0.0008499549059703417,0.0021313299137862693,0.006721991241907232,0.038157036930815895
bravo_without_replacement | alpha=0.05 | p=0.55,78,1.7417493406591378e-05,6.509972795915905e-05,0.0003736757696633185,0.0010214422222155205,0.002528093960559476,0.007766474756323963,0.03925942714049154
bravo_without_replacement | alpha=0.05 | p=0.55,80,2.081285721375445e-05,7.770548533912633e-05,0.00044253870633479894,0.0011984059299269061,0.0029275426777417876,0.008760072840392562,0.03942984605154806
bravo_without_replacement | alpha=0.05 | p=0.55,82,2.4470064249539175e-05,9.126014418017011e-05,0.000515658004602654,0.001383390911733273,0.0033354877393828963,0.00972137897088831,0.038957989013121745
bravo_without_replacement | alpha=0.05 | p=0.55,84,2.8414611609206164e-05,0.00010585550483045463,0.0005934338207769933,0.0015771847137483514,0.0037532491319224722,0.010654430284378446,0.03801054256765236
bravo_without_replacement | alpha=0.05 | p=0.55,86,3.2659032501520525e-05,0.00012153471160403926,0.0006759811957272054,0.001779789460859255,0.004180219820537988,0.011557569994976046,0.0367028145930815
