legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,127.0,74.0,52.0,39.0,34.0,29.0
bravo    | p=0.55 | alpha=0.080998046875,500.0,500.0,500.0,500.0,500.0,500.0,500.0,372.0,288.0,197.0,151.0,122.0,103.0,88.0,77.0,69.0
bravo    | p=0.52 | alpha=0.24294531249999998,500.0,500.0,500.0,500.0,500.0,500.0,488.0,381.0,316.0,232.0,186.0,153.0,130.0,114.0,102.0,92.0
