legend,0.5,0.52,0.55,0.57,0.59,0.62,0.7
clip     | alpha=0.05 | n_total=5000,301.0,422.0,447.0,428.0,370.0,237.0,86.0
bravo_without_replacement | alpha=0.05 | p=0.55,452.0,463.0,452.0,419.0,343.0,235.0,115.0
truncated_bayesian | critical_value=0.05 | a=1 | b=1,145.0,356.0,444.0,439.0,402.0,272.0,90.0
bayesian | critical_value=0.05 | a=1 | b=1,271.0,354.0,327.0,246.0,165.0,99.0,36.0
max_sprt | alpha=0.05,249.0,395.0,425.0,393.0,309.0,188.0,66.0
bravo    | alpha=0.05 | p=0.55,451.0,461.0,455.0,426.0,356.0,240.0,118.0
