,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
kaplan_markov | alpha=0.05,8,0.0078125,0.015224352343750011,0.010280717025280004,0.0078125,0.0067822307284899986,0.005870683422719999,0.005066231204629998,0.004358176572159997,0.0037366945312499967,0.003192778096639997,0.002305393332480001,0.0016384000000000008,0.0011441558259200001,0.0007836416409599998,0.0005252335014399997,0.0003435973836799997,0.00021870000000000022
kaplan_markov | alpha=0.05,11,0.0068359375,0.01450690473955079,0.009340483769015993,0.0068359375,0.005813436544540302,0.004923483876564662,0.004151974055211264,0.00348587881488903,0.0029132204739257786,0.0024230376108772536,0.0016510858184288577,0.0011010048000000008,0.0007170378794807606,0.0004549886058745036,0.0002805125065810635,0.00016747761114284013,9.644670000000011e-05
kaplan_markov | alpha=0.05,13,0.01025390625,0.02154275353823293,0.013988308492478355,0.01025390625,0.008716666754883728,0.007373409453543238,0.0062055404229187545,0.005195353785710611,0.004326132403779782,0.003582218803920931,0.0024132270322156186,0.0015854469120000006,0.0010136047464340031,0.0006289762487609136,0.0003776820388607438,0.00021865876910809207,0.00012152284200000015
kaplan_markov | alpha=0.05,16,0.006195068359375,0.014173785406061127,0.008775257589969462,0.006195068359375,0.005158928710544292,0.004269734959082189,0.003511542604454618,0.0028692692073571126,0.002328811149609703,0.0018771208635884765,0.0011933600732468813,0.0007356473671680003,0.0004386056944039266,0.0002521540622232552,0.00013927553937844331,7.359062915091754e-05,3.700370538900006e-05
kaplan_markov | alpha=0.05,19,0.004192352294921875,0.010445407811338316,0.006166084227566161,0.004192352294921875,0.0034199796133438927,0.002769417232362134,0.0022257233496473143,0.0017749346808063494,0.0014041827814028126,0.0011017606855465135,0.0006609973711311545,0.0003823336937226243,0.00021258606984653016,0.0001132276774591783,5.7527867197571734e-05,2.7741698006164144e-05,1.2620815517331021e-05
kaplan_markov | alpha=0.05,21,0.005881309509277344,0.014506974902820331,0.008636351102163393,0.005881309509277344,0.004795854838439852,0.0038789057502871048,0.0031111515395916287,0.002474059971474738,0.001950181815464521,0.00152336590319325,0.0009035522510461842,0.0005149085108325586,0.0002810517832305557,0.00014638997272031792,7.24398232142549e-05,3.387413287446179e-05,1.4872465470454856e-05
kaplan_markov | alpha=0.05,24,0.003482222557067871,0.009353781672453463,0.005309464125808806,0.003482222557067871,0.0027816394806916738,0.0022012406380977853,0.0017253024031391704,0.0013390355963073777,0.0010288102817674091,0.000782294157973872,0.0004378771904590376,0.0002341390110188531,0.00011918393064330196,5.751336547274862e-05,2.617891407707985e-05,1.1172478623805339e-05,4.438088875955858e-06
kaplan_markov | alpha=0.05,27,0.0023633241653442383,0.006913243910985885,0.0037415829138260416,0.0023633241653442383,0.0018493535112648635,0.0014318914588804972,0.0010967144634260618,0.0008307269573622108,0.0006221280332036098,0.00046049002307829224,0.00024324037006897637,0.0001220398797086252,5.7933977347632034e-05,2.5900641186655215e-05,1.0844515543739912e-05,4.223914901958309e-06,1.5180752603736868e-06
kaplan_markov | alpha=0.05,30,0.0016741417348384857,0.0053330872264889286,0.0027520873411453844,0.0016741417348384857,0.0012833383921346869,0.0009721982417945058,0.0007276525754345513,0.0005379310850188823,0.0003926688066682836,0.000282925778532581,0.00014103312991764765,6.639447150709887e-05,2.9393489170276783e-05,1.2174591704808755e-05,4.688898584847643e-06,1.6667978965801774e-06,5.419918631527175e-07
kaplan_markov | alpha=0.05,32,0.0024294881150126457,0.007661899256090949,0.003987395742126112,0.0024294881150126457,0.001861615515715487,0.0014085814326737678,0.00105215650706215,0.0007756410396978208,0.000564136439163881,0.00040466511820467577,0.00019942563117479752,9.249658677604154e-05,4.0198419261551716e-05,1.6282437775676296e-05,6.107679497526065e-06,2.1053503741118786e-06,6.606852457899592e-07
kaplan_markov | alpha=0.05,35,0.001488487992901355,0.005112047421766068,0.0025366340000278816,0.001488487992901355,0.0011173079011658938,0.0008271577089422237,0.0006037713132861036,0.0004344009305081451,0.0003079586547390168,0.00021503526774100596,0.00010000646896593778,4.352286578616609e-05,1.763958656903266e-05,6.619496342316403e-06,2.2840129013212395e-06,7.185447076878684e-07,2.040119944945355e-07
kaplan_markov | alpha=0.05,38,0.0010387659567641094,0.0038850367034468673,0.0018380955911757968,0.0010387659567641094,0.0007638315018761784,0.0005532692068418453,0.0003946448317355171,0.0002771165920727552,0.0001914884087946902,0.00013015637168004262,5.712379175503933e-05,2.3326580354661816e-05,8.81677269179296e-06,3.0652950331474636e-06,9.728876306549405e-07,2.7933478688002985e-07,7.1756064337916e-08
kaplan_markov | alpha=0.05,40,0.0015070116060087457,0.005579935894223764,0.00266238927125458,0.0015070116060087457,0.0011077013928830971,0.0008013826960267051,0.0005704781661239279,0.00039945972726409444,0.00027502778663926155,0.00018610798930771748,8.07519821464224e-05,3.2487866983222386e-05,1.2054350371370387e-05,4.098393333083305e-06,1.2669060629241316e-06,3.52730322126818e-07,8.744536311173824e-08
kaplan_markov | alpha=0.05,43,0.0009277720721456717,0.0037409489997891968,0.001701900494211194,0.0009277720721456717,0.000668035778912757,0.0004728685867513602,0.0003289465213595788,0.00022480041548120973,0.00015086169260746882,9.937407113991017e-05,4.069063346815562e-05,1.5360562388993084e-05,5.3151726796183485e-06,1.674222974172308e-06,4.760590979675913e-07,1.2096684383907697e-07,2.7132637974887352e-08
