legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.03808593750092383,320.0,440.0,480.0,480.0,480.0,480.0,480.0,460.0,440.0,360.0,280.0,220.0,180.0,140.0,140.0,120.0
bayesian | a=500 | b=500 | critical_value=0.11328125000077342,400.0,480.0,480.0,480.0,480.0,480.0,480.0,460.0,440.0,380.0,300.0,240.0,200.0,180.0,160.0,140.0
bayesian | a=1000 | b=1000 | critical_value=0.15966796875068065,420.0,480.0,480.0,480.0,480.0,480.0,480.0,460.0,440.0,380.0,300.0,240.0,200.0,180.0,160.0,140.0
