legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=1,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,2000.0,2000.0,2000.0,1000.0,1000.0,1000.0,1000.0
bravo    | p=0.55 | alpha=0.8250652465820312,1000.0,1000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
bravo    | p=0.51 | alpha=0.3395588073730468,1000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
