,,0.5,0.52,0.55,0.57,0.59,0.62,0.7
clip     | n_total=500 | alpha=0.1569375,20,0.018721740671977495,0.02874789529238511,0.05179117233441397,0.07408201870628778,0.10321732384599848,0.16190260160632247,0.4136193695522269
clip     | n_total=500 | alpha=0.1569375,40,0.010458606294492717,0.019344203691844787,0.04322630832866731,0.06846442241141809,0.10218547204174812,0.1669664680879639,0.32450652362332183
clip     | n_total=500 | alpha=0.1569375,60,0.004233588986012348,0.009471059550145114,0.026172908439750425,0.045518565975842654,0.07177237661004997,0.11826391602029233,0.14637551183103228
clip     | n_total=500 | alpha=0.1569375,80,0.004515071638464559,0.011430715656248033,0.03520984618648563,0.06257583560506662,0.0968141637885383,0.14349585084625557,0.08204068990968295
clip     | n_total=500 | alpha=0.1569375,100,0.0035337050759124437,0.010155140120618616,0.03466344839085481,0.06225416598236698,0.0928705691330349,0.11902601611006439,0.025425438011478518
clip     | n_total=500 | alpha=0.1569375,120,0.0025502007022688428,0.008421349135100332,0.032135318509962714,0.058299711715550886,0.08340140791064113,0.09074713413997061,0.006406111891323083
clip     | n_total=500 | alpha=0.1569375,140,0.0017618386801261212,0.006786978074716865,0.029293274926134736,0.053719442441434895,0.073319394650376,0.06644527062303418,0.001353110011544308
clip     | n_total=500 | alpha=0.1569375,160,0.0011748890755399106,0.005375500834045303,0.02661498421711845,0.04938994176037279,0.06395062914168004,0.04722192163675162,0.00023636716945621457
clip     | n_total=500 | alpha=0.1569375,180,0.0007553443631098575,0.004193717943850427,0.02422392803573807,0.04555184423075727,0.055585846634295714,0.0325894052823343,3.306332716279972e-05
clip     | n_total=500 | alpha=0.1569375,200,0.00046541437761219383,0.0032177206666980894,0.02212744433370437,0.04223560670382306,0.048192153519558176,0.021748791648824997,3.5312463257419432e-06
clip     | n_total=500 | alpha=0.1569375,220,0.00027224772974486164,0.0024188023551553,0.020295664660423596,0.039403696372330245,0.041643592078187255,0.013931383527656964,2.696072879684482e-07
clip     | n_total=500 | alpha=0.1569375,240,0.0003999501891169967,0.004137068551896673,0.03590792346437321,0.06287253571070027,0.05417193181262313,0.01096639952838699,1.3681080960561428e-08
clip     | n_total=500 | alpha=0.1569375,260,0.00015980683233300793,0.0022573133496138287,0.024416584714694954,0.04209007550972827,0.031214793893967755,0.003833032185653434,1.366623650645893e-10
clip     | n_total=500 | alpha=0.1569375,280,7.034717474253438e-05,0.0014594399218824795,0.021114658492557094,0.03677914318703401,0.023748237038726683,0.0017557977959352798,1.4095193412806888e-12
clip     | n_total=500 | alpha=0.1569375,300,8.382999872115952e-05,0.0023019696165026,0.03659992919479844,0.0552099568586108,0.0261680174123963,0.0008785087854131392,5.0379430937936836e-15
clip     | n_total=500 | alpha=0.1569375,320,2.3188788195751968e-05,0.0010828415201677485,0.024693876427168613,0.03584114128403235,0.01295193027485899,0.0001763643376697707,5.725860118959769e-19
clip     | n_total=500 | alpha=0.1569375,340,6.174947876503767e-06,0.0005736755939411438,0.021366849183481515,0.030790187852816404,0.008419906873973303,4.2751065645761394e-05,9.606530095244683e-24
clip     | n_total=500 | alpha=0.1569375,360,4.5069326758746065e-06,0.0007785407641761708,0.037646537594610646,0.043181409463864596,0.0068389780030583365,8.025404506362264e-06,1.6142402866683415e-32
clip     | n_total=500 | alpha=0.1569375,380,4.71722348806949e-07,0.000257223886145939,0.025804105555730483,0.02666863724374644,0.002316067899463474,3.5063090416686624e-07,0.0
clip     | n_total=500 | alpha=0.1569375,400,1.308264268745078e-07,0.0002544223561420228,0.044290754139138536,0.03141821426266487,0.001053815450475062,1.0724150293061795e-08,0.0
clip     | n_total=500 | alpha=0.1569375,420,1.6451265103127322e-09,4.2073730202668264e-05,0.030602322160104275,0.01643993004069048,0.00014836968725432276,1.2263774783882314e-11,0.0
clip     | n_total=500 | alpha=0.1569375,440,8.81097602212007e-12,1.529084771515814e-05,0.05441993656274051,0.013296024342544052,1.4964789698775076e-05,1.7300841737002778e-16,0.0
clip     | n_total=500 | alpha=0.1569375,460,0.0,8.879638081976643e-08,0.04022560253386204,0.0034926335740313556,5.750939594363318e-08,0.0,0.0
clip     | n_total=500 | alpha=0.1569375,480,0.0,0.0,0.08391308033626786,0.00042485876428495007,0.0,0.0,0.0
clip     | n_total=500 | alpha=0.1569375,500,0.0,0.0,0.17324354127721692,0.0,0.0,0.0,0.0
