legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05,80.0,100.0,120.0,140.0,140.0,160.0,160.0,200.0,240.0,320.0,460.0,480.0,360.0,260.0,180.0,140.0
bravo    | p=0.55 | alpha=0.05,200.0,260.0,300.0,340.0,380.0,400.0,440.0,480.0,500.0,440.0,360.0,280.0,240.0,200.0,180.0,160.0
bravo    | p=0.51 | alpha=0.05,220.0,260.0,280.0,280.0,300.0,320.0,320.0,340.0,340.0,380.0,400.0,440.0,480.0,500.0,480.0,440.0
