,,0.5,0.52,0.55,0.57,0.59,0.62,0.7
clip     | alpha=0.05 | n_total=5000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | alpha=0.05 | n_total=5000,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | alpha=0.05 | n_total=5000,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | alpha=0.05 | n_total=5000,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | alpha=0.05 | n_total=5000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | alpha=0.05 | n_total=5000,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | alpha=0.05 | n_total=5000,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | alpha=0.05 | n_total=5000,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clip     | alpha=0.05 | n_total=5000,8,0.003884403449743898,0.005318369338923207,0.008335062278188452,0.011064730094647122,0.014625938545810164,0.021759101343927143,0.05750965283908036
clip     | alpha=0.05 | n_total=5000,9,0.003884403449743898,0.005318369338923207,0.008335062278188452,0.011064730094647122,0.014625938545810164,0.021759101343927143,0.05750965283908036
clip     | alpha=0.05 | n_total=5000,10,0.003884403449743898,0.005318369338923207,0.008335062278188452,0.011064730094647122,0.014625938545810164,0.021759101343927143,0.05750965283908036
clip     | alpha=0.05 | n_total=5000,11,0.003884403449743898,0.005318369338923207,0.008335062278188452,0.011064730094647122,0.014625938545810164,0.021759101343927143,0.05750965283908036
clip     | alpha=0.05 | n_total=5000,14,0.005820376214334593,0.008181925472362189,0.013316241948748343,0.01809626265387464,0.02446324995411287,0.03750637288917434,0.10484606162068781
clip     | alpha=0.05 | n_total=5000,13,0.005820376214334593,0.008181925472362189,0.013316241948748343,0.01809626265387464,0.02446324995411287,0.03750637288917434,0.10484606162068781
clip     | alpha=0.05 | n_total=5000,12,0.005820376214334593,0.008181925472362189,0.013316241948748343,0.01809626265387464,0.02446324995411287,0.03750637288917434,0.10484606162068781
clip     | alpha=0.05 | n_total=5000,15,0.007632066469322926,0.010965324348056787,0.018396553129696996,0.025456695506884872,0.034988027655853314,0.054755560960325106,0.1570637402970255
clip     | alpha=0.05 | n_total=5000,16,0.007632066469322926,0.010965324348056787,0.018396553129696996,0.025456695506884872,0.034988027655853314,0.054755560960325106,0.1570637402970255
clip     | alpha=0.05 | n_total=5000,17,0.007632066469322926,0.010965324348056787,0.018396553129696996,0.025456695506884872,0.034988027655853314,0.054755560960325106,0.1570637402970255
clip     | alpha=0.05 | n_total=5000,18,0.00912370345725201,0.01334577634197752,0.02295573969353721,0.032236371084552184,0.04489663762818675,0.07138230720855568,0.20775330445355372
clip     | alpha=0.05 | n_total=5000,19,0.00912370345725201,0.01334577634197752,0.02295573969353721,0.032236371084552184,0.04489663762818675,0.07138230720855568,0.20775330445355372
clip     | alpha=0.05 | n_total=5000,20,0.00912370345725201,0.01334577634197752,0.02295573969353721,0.032236371084552184,0.04489663762818675,0.07138230720855568,0.20775330445355372
clip     | alpha=0.05 | n_total=5000,21,0.010302906520662595,0.01530060837141697,0.026884677962349127,0.038233156901843784,0.05385498130082878,0.08677352789292267,0.2550085706573164
clip     | alpha=0.05 | n_total=5000,22,0.010302906520662595,0.01530060837141697,0.026884677962349127,0.038233156901843784,0.05385498130082878,0.08677352789292267,0.2550085706573164
clip     | alpha=0.05 | n_total=5000,23,0.010302906520662595,0.01530060837141697,0.026884677962349127,0.038233156901843784,0.05385498130082878,0.08677352789292267,0.2550085706573164
clip     | alpha=0.05 | n_total=5000,24,0.011220671365445625,0.016881116178692396,0.030218366527069,0.043455957461720915,0.061829952424460176,0.1008028697788523,0.2983879955716012
clip     | alpha=0.05 | n_total=5000,25,0.011220671365445625,0.016881116178692396,0.030218366527069,0.043455957461720915,0.061829952424460176,0.1008028697788523,0.2983879955716012
clip     | alpha=0.05 | n_total=5000,26,0.011220671365445625,0.016881116178692396,0.030218366527069,0.043455957461720915,0.061829952424460176,0.1008028697788523,0.2983879955716012
clip     | alpha=0.05 | n_total=5000,28,0.011930897968295972,0.018151767511492334,0.03303118846409189,0.04797939986879582,0.0688902400341086,0.11352047825110234,0.3379906934573348
clip     | alpha=0.05 | n_total=5000,29,0.011930897968295972,0.018151767511492334,0.03303118846409189,0.04797939986879582,0.0688902400341086,0.11352047825110234,0.3379906934573348
clip     | alpha=0.05 | n_total=5000,27,0.011930897968295972,0.018151767511492334,0.03303118846409189,0.04797939986879582,0.0688902400341086,0.11352047825110234,0.3379906934573348
clip     | alpha=0.05 | n_total=5000,30,0.012479847802255232,0.01917211063534415,0.03540187667058005,0.051892878978435336,0.0751341290221008,0.1250371018830463,0.3741084545658642
clip     | alpha=0.05 | n_total=5000,31,0.012479847802255232,0.01917211063534415,0.03540187667058005,0.051892878978435336,0.0751341290221008,0.1250371018830463,0.3741084545658642
clip     | alpha=0.05 | n_total=5000,32,0.013331974991962243,0.020753820557998955,0.039047000870753724,0.05785338921643866,0.08451989544314081,0.14189978831518904,0.42123968734173134
clip     | alpha=0.05 | n_total=5000,33,0.013331974991962243,0.020753820557998955,0.039047000870753724,0.05785338921643866,0.08451989544314081,0.14189978831518904,0.42123968734173134
clip     | alpha=0.05 | n_total=5000,34,0.013331974991962243,0.020753820557998955,0.039047000870753724,0.05785338921643866,0.08451989544314081,0.14189978831518904,0.42123968734173134
