legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,32.0,40.0,47.0,52.0,60.0,67.0,77.0,87.0,105.0,170.0,276.0,201.0,118.0,80.0,60.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.05,253.0,431.0,755.0,990.0,1146.0,1133.0,961.0,719.0,532.0,339.0,244.0,192.0,156.0,133.0,114.0,99.0
bravo_without_replacement | p=0.51 | alpha=0.05,1602.0,1891.0,1913.0,1909.0,1895.0,1865.0,1797.0,1650.0,1442.0,1071.0,842.0,696.0,592.0,516.0,453.0,405.0
