legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,246.0,72.0,47.0,37.0,30.0,25.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.05,2000.0,2000.0,2000.0,2000.0,972.0,513.0,360.0,278.0,227.0,169.0,135.0,112.0,97.0,84.0,76.0,70.0
bravo_without_replacement | p=0.51 | alpha=0.05,2000.0,2000.0,2000.0,2000.0,2000.0,1973.0,1532.0,1251.0,1063.0,814.0,664.0,562.0,483.0,427.0,383.0,347.0
