legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.055876708984374995,1000.0,1000.0,1000.0,984.0,966.0,949.0,931.0,915.0,898.0,865.0,434.0,166.0,101.0,71.0,54.0,44.0
bravo_without_replacement | p=0.55 | alpha=0.053681640625,1000.0,1000.0,1000.0,984.0,965.0,753.0,553.0,431.0,351.0,253.0,196.0,159.0,132.0,116.0,102.0,90.0
bravo_without_replacement | p=0.52 | alpha=0.053681640625,1000.0,1000.0,1000.0,982.0,828.0,700.0,604.0,530.0,469.0,381.0,323.0,277.0,243.0,216.0,193.0,176.0
