legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.055876708984374995,44.0,56.0,66.0,986.0,969.0,953.0,936.0,920.0,904.0,872.0,839.0,342.0,181.0,119.0,86.0,66.0
bravo_without_replacement | p=0.55 | alpha=0.053681640625,243.0,367.0,541.0,986.0,969.0,884.0,688.0,545.0,445.0,316.0,243.0,196.0,161.0,137.0,118.0,106.0
bravo_without_replacement | p=0.52 | alpha=0.053681640625,463.0,662.0,877.0,986.0,885.0,765.0,668.0,588.0,524.0,427.0,359.0,307.0,267.0,237.0,212.0,191.0
