legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.055876708984374995,1000.0,1000.0,1000.0,982.0,962.0,944.0,926.0,908.0,890.0,840.0,114.0,69.0,49.0,39.0,31.0,26.0
bravo_without_replacement | p=0.55 | alpha=0.053681640625,1000.0,1000.0,1000.0,981.0,905.0,541.0,396.0,312.0,257.0,192.0,153.0,126.0,108.0,94.0,83.0,75.0
bravo_without_replacement | p=0.52 | alpha=0.053681640625,1000.0,1000.0,1000.0,928.0,738.0,615.0,528.0,461.0,410.0,336.0,285.0,247.0,216.0,193.0,174.0,159.0
