legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.06943880641460418,16.0,21.0,24.0,26.0,26.0,29.0,31.0,36.0,39.0,49.0,69.0,66.0,49.0,39.0,31.0,26.0
bravo    | p=0.55 | alpha=0.17855664062499998,71.0,94.0,120.0,139.0,166.0,204.0,265.0,231.0,183.0,128.0,99.0,82.0,69.0,59.0,52.0,48.0
bravo    | p=0.51 | alpha=0.6117167968749999,110.0,145.0,195.0,227.0,282.0,369.0,284.0,229.0,195.0,149.0,120.0,100.0,88.0,76.0,68.0,62.0
