legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.06943880641460418,66.0,84.0,102.0,114.0,129.0,144.0,167.0,195.0,225.0,321.0,452.0,444.0,311.0,215.0,157.0,119.0
bravo    | p=0.55 | alpha=0.17855664062499998,176.0,246.0,313.0,355.0,406.0,454.0,494.0,480.0,433.0,334.0,259.0,206.0,166.0,136.0,115.0,101.0
bravo    | p=0.52 | alpha=0.40781933593749997,215.0,293.0,370.0,415.0,462.0,495.0,483.0,442.0,395.0,311.0,250.0,203.0,168.0,144.0,123.0,109.0
