legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.06943880641460418,26.0,31.0,39.0,41.0,46.0,51.0,56.0,61.0,71.0,102.0,167.0,162.0,99.0,69.0,54.0,41.0
bravo    | p=0.55 | alpha=0.17855664062499998,96.0,132.0,172.0,204.0,244.0,305.0,395.0,349.0,273.0,187.0,139.0,111.0,92.0,78.0,67.0,59.0
bravo    | p=0.51 | alpha=0.6117167968749999,136.0,195.0,256.0,306.0,371.0,466.0,373.0,306.0,258.0,193.0,155.0,126.0,108.0,94.0,82.0,74.0
