legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,14.0,16.0,16.0,16.0,19.0,19.0,22.0,24.0,24.0,29.0,32.0,29.0,27.0,22.0,19.0,16.0
bravo    | p=0.55 | alpha=0.088802734375,100.0,135.0,165.0,175.0,182.0,184.0,177.0,171.0,156.0,129.0,106.0,89.0,76.0,68.0,60.0,53.0
bravo    | p=0.51 | alpha=0.46830566406249996,200.0,261.0,279.0,281.0,277.0,269.0,257.0,239.0,219.0,180.0,150.0,130.0,112.0,99.0,89.0,81.0
