legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.058559570312499996,29.0,39.0,44.0,49.0,54.0,62.0,69.0,79.0,95.0,132.0,155.0,142.0,107.0,74.0,57.0,47.0
bravo    | p=0.55 | alpha=0.088802734375,190.0,283.0,346.0,365.0,373.0,375.0,371.0,354.0,331.0,266.0,201.0,156.0,129.0,108.0,93.0,83.0
bravo    | p=0.51 | alpha=0.46830566406249996,346.0,417.0,435.0,435.0,433.0,427.0,413.0,394.0,368.0,299.0,241.0,194.0,166.0,144.0,126.0,112.0
