,,0.5,0.5,0.52,0.55,0.57,0.59,0.62,0.7
bravo_without_replacement | p=0.7 | alpha=0.46881249999999997,400,1.3227548342846877e-38,1.3227548342846877e-38,3.413509269983631e-25,3.9048034056380516e-14,1.957389244304453e-09,2.7534675242291956e-06,0.0003648407695555707,8.936638566149109e-21
bravo_without_replacement | p=0.7 | alpha=0.46881249999999997,350,5.443764998261927e-15,5.443764998261927e-15,1.0410345395132612e-10,4.290118737922372e-06,0.0004589960669144194,0.008213489581463802,0.023190702888704486,6.806375024743816e-10
bravo_without_replacement | p=0.7 | alpha=0.46881249999999997,300,5.851309349382226e-10,5.851309349382226e-10,2.3361060288826429e-07,0.0001754087622157836,0.0033446743305890364,0.020610929926947064,0.03846085965390672,6.03022396715525e-07
bravo_without_replacement | p=0.7 | alpha=0.46881249999999997,250,1.8294213288596446e-07,1.8294213288596446e-07,1.0198029210345329e-05,0.0009431813690337729,0.007405509873948098,0.02751352877108341,0.048545217210787105,4.564215959667975e-05
bravo_without_replacement | p=0.7 | alpha=0.46881249999999997,200,9.153528461451294e-06,9.153528461451294e-06,0.00014246505011231877,0.003295712061694743,0.014267460068192241,0.03767057600408856,0.06401262136208244,0.0009990439931711578
bravo_without_replacement | p=0.7 | alpha=0.46881249999999997,150,0.00017184635331826665,0.00017184635331826665,0.001086234704713978,0.00934325535394889,0.026361338261353895,0.05440453014908805,0.0899814789604997,0.010815189301763704
bravo_without_replacement | p=0.7 | alpha=0.46881249999999997,100,0.0017270787115674494,0.0017270787115674494,0.005547007281278285,0.02250563793581333,0.045647087772802304,0.07750344564844858,0.1232612431867032,0.06196559853570975
bravo_without_replacement | p=0.7 | alpha=0.46881249999999997,50,0.05013664138726909,0.05013664138726909,0.08924097935417333,0.1846267990726218,0.2749141186155979,0.38361306985260807,0.564750755448029,0.9261739223067172
bravo_without_replacement | p=0.55 | alpha=0.11600390625,50,0.0007614596729387066,0.0007614596729387066,0.00201754577284307,0.0074688274619430055,0.016220966317750125,0.032699352065191804,0.0817541161953105,0.44225141489062814
bravo_without_replacement | p=0.55 | alpha=0.11600390625,100,0.004683513199222695,0.004683513199222695,0.015481123166678587,0.06648791380459126,0.14189258176683042,0.25725774483657016,0.46990809877795886,0.5377092193608431
bravo_without_replacement | p=0.55 | alpha=0.11600390625,150,0.00989073413622622,0.00989073413622622,0.03756297190997707,0.15604204187105442,0.2790286367784576,0.37639871955538173,0.3565303400781878,0.01999073931315321
bravo_without_replacement | p=0.55 | alpha=0.11600390625,200,0.011493597897881744,0.011493597897881744,0.051222573951207266,0.19439833184488334,0.26455666739869826,0.23020625639854117,0.0833982120377192,4.86195288345512e-05
bravo_without_replacement | p=0.55 | alpha=0.11600390625,250,0.010575232630244739,0.010575232630244739,0.05842914880388975,0.19314366050874177,0.17881084634109717,0.08456174468083943,0.008153794527081315,6.906533341313271e-09
bravo_without_replacement | p=0.55 | alpha=0.11600390625,300,0.008252721575684418,0.008252721575684418,0.06252010385217957,0.16778396041248037,0.08850802933994872,0.01742915036100374,0.0002543140082763557,7.742140679123012e-15
bravo_without_replacement | p=0.55 | alpha=0.11600390625,350,0.005171765694826506,0.005171765694826506,0.06568164565840488,0.12574678761423047,0.02751617871853753,0.0014280407516906644,1.1243092913442572e-06,6.920499278737673e-26
bravo_without_replacement | p=0.55 | alpha=0.11600390625,400,0.0008102761863701119,0.0008102761863701119,0.04064236794053582,0.062370724943471345,0.0033683215177282484,1.8985079325185017e-05,6.617472298865607e-11,0.0
bravo_without_replacement | p=0.55 | alpha=0.11600390625,450,2.7722272535346538e-05,2.7722272535346538e-05,0.04656790150021998,0.025970118382717025,8.3428917388331e-05,4.1444771635888425e-10,0.0,0.0
