legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,44.0,59.0,72.0,79.0,90.0,107.0,125.0,147.0,183.0,253.0,291.0,268.0,200.0,132.0,95.0,72.0
bravo    | p=0.55 | alpha=0.080998046875,280.0,397.0,435.0,446.0,450.0,450.0,446.0,435.0,421.0,362.0,277.0,212.0,170.0,138.0,117.0,103.0
bravo    | p=0.52 | alpha=0.24294531249999998,412.0,461.0,469.0,469.0,469.0,465.0,461.0,451.0,432.0,375.0,300.0,237.0,196.0,165.0,143.0,124.0
