legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.05832865464687347,14.0,16.0,16.0,16.0,19.0,19.0,22.0,24.0,24.0,29.0,32.0,29.0,27.0,22.0,19.0,16.0
bravo    | p=0.55 | alpha=0.080998046875,111.0,149.0,174.0,185.0,191.0,191.0,185.0,174.0,162.0,134.0,109.0,92.0,80.0,71.0,63.0,56.0
bravo    | p=0.52 | alpha=0.24294531249999998,192.0,243.0,263.0,265.0,263.0,255.0,243.0,226.0,210.0,173.0,145.0,122.0,106.0,96.0,86.0,77.0
