legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,29.0,39.0,47.0,49.0,57.0,64.0,72.0,82.0,97.0,145.0,185.0,160.0,107.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.0644130859375,222.0,363.0,483.0,523.0,541.0,541.0,523.0,483.0,426.0,304.0,222.0,174.0,143.0,119.0,105.0,92.0
bravo_without_replacement | p=0.52 | alpha=0.18245898437499997,409.0,582.0,629.0,633.0,629.0,613.0,582.0,535.0,474.0,357.0,275.0,225.0,188.0,162.0,141.0,127.0
