legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.058559570312499996,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0,167.0,64.0,44.0,34.0,27.0,22.0,19.0,16.0
bravo_without_replacement | p=0.55 | alpha=0.0644130859375,750.0,750.0,750.0,750.0,750.0,436.0,311.0,243.0,201.0,151.0,119.0,101.0,88.0,75.0,69.0,63.0
bravo_without_replacement | p=0.52 | alpha=0.18245898437499997,750.0,750.0,750.0,750.0,702.0,501.0,391.0,322.0,275.0,212.0,176.0,147.0,129.0,115.0,103.0,92.0
