legend,0.5,0.52,0.55,0.57,0.59,0.62,0.7
bravo_without_replacement | p=0.7 | alpha=0.08201440429687501,65.0,90.0,155.0,230.0,295.0,280.0,75.0
bravo_without_replacement | p=0.55 | alpha=0.0828671875,440.0,455.0,445.0,395.0,310.0,210.0,105.0
