legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,82.0,113.0,145.0,168.0,198.0,238.0,296.0,379.0,500.0,817.0,918.0,870.0,586.0,324.0,208.0,148.0
bravo_without_replacement | p=0.55 | alpha=0.05,487.0,861.0,974.0,985.0,989.0,989.0,985.0,974.0,943.0,718.0,483.0,353.0,273.0,223.0,185.0,158.0
bravo_without_replacement | p=0.51 | alpha=0.05,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,995.0,977.0,862.0,725.0,621.0,544.0,482.0
