legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.011962890625976073,205.0,391.0,841.0,1040.0,1058.0,920.0,711.0,535.0,418.0,283.0,214.0,169.0,142.0,120.0,106.0,95.0
bayesian | a=500 | b=500 | critical_value=0.03613281250092773,424.0,812.0,1225.0,1282.0,1215.0,1040.0,824.0,651.0,530.0,387.0,303.0,250.0,211.0,185.0,164.0,146.0
bayesian | a=1000 | b=1000 | critical_value=0.06152343750087695,530.0,1003.0,1347.0,1365.0,1280.0,1096.0,880.0,706.0,582.0,432.0,343.0,284.0,244.0,211.0,189.0,169.0
