legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.03613281250092773,500.0,500.0,500.0,500.0,500.0,500.0,480.0,360.0,290.0,210.0,160.0,130.0,110.0,90.0,80.0,80.0
bayesian | a=500 | b=500 | critical_value=0.10742187500078515,500.0,500.0,500.0,500.0,500.0,500.0,470.0,380.0,310.0,240.0,190.0,160.0,140.0,120.0,110.0,100.0
bayesian | a=1000 | b=1000 | critical_value=0.15722656250068556,500.0,500.0,500.0,500.0,500.0,500.0,470.0,380.0,310.0,240.0,200.0,160.0,140.0,130.0,110.0,100.0
