,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
truncated_bayesian | a=1 | b=1 | critical_value=0.05,7,0.0078125,0.003736694531250001,0.005870683422719999,0.0078125,0.00897410677851,0.010280717025280004,0.011747111398370005,0.013389252099840005,0.015224352343750011,0.01727094849536001,0.022079841675519993,0.027993599999999997,0.035216146062080005,0.04398046511104001,0.05455160701056002,0.06722988818432005,0.08235429999999996
truncated_bayesian | a=1 | b=1 | critical_value=0.05,11,0.00341796875,0.001310949213266602,0.002363272260751038,0.00341796875,0.004083155137287126,0.0048570515598883165,0.005753797775025383,0.006788807120330444,0.007978797606752935,0.009341809064160324,0.012665643682842525,0.016930529279999995,0.022325363132097854,0.02905362191609255,0.03732641776567695,0.04735187117152155,0.059319802289999966
truncated_bayesian | a=1 | b=1 | critical_value=0.05,14,0.00299072265625,0.0010220487803929749,0.0019819724611124224,0.00299072265625,0.0036427582736447486,0.004412845052427171,0.005317435505565233,0.006374364023248515,0.007602796769534704,0.009023141273363688,0.012526524252630181,0.017065973514239993,0.02282777310402258,0.0299889161128154,0.038697342437374736,0.04904593171455389,0.061040076556409965
truncated_bayesian | a=1 | b=1 | critical_value=0.05,17,0.002349853515625,0.0007155071497593962,0.001492581555903159,0.002349853515625,0.002918242795082997,0.00360015533456623,0.004412720951579214,0.005374484925055479,0.006505278750161159,0.007826023074343982,0.011124756082663851,0.015447144026603512,0.020959704686490655,0.027795715290082512,0.036024881855882526,0.04561686437904584,0.05640103073812281
truncated_bayesian | a=1 | b=1 | critical_value=0.05,20,0.0017957687377929688,0.0004871932901908589,0.001093260085735334,0.0017957687377929688,0.002273827202078486,0.002856727185420487,0.0035616862966636863,0.004407393267387455,0.005413814949860683,0.006601907849147393,0.009609380240058942,0.013599103886693494,0.01871766794130914,0.025057625075819896,0.03261887337593626,0.041266043970227234,0.05068786269267252
truncated_bayesian | a=1 | b=1 | critical_value=0.05,23,0.0013626813888549805,0.00032939948829348065,0.0007951392937042931,0.0013626813888549805,0.001759250951769091,0.0022508709546847825,0.0028545599432686026,0.003588897541681135,0.004473785983499254,0.005530088649771299,0.008242037019995213,0.011887942294289027,0.016597879939616762,0.02243036084562491,0.02932713576763182,0.03706760658924421,0.04523298188564583
truncated_bayesian | a=1 | b=1 | critical_value=0.05,26,0.0010343194007873535,0.00022277218810418524,0.0005784680373099994,0.0010343194007873535,0.0013614903272858663,0.001773980554743806,0.0022884377209067574,0.002923187982985137,0.0036979704006185176,0.004633521229217039,0.007071151982232959,0.010394880804522035,0.014722105573692384,0.02008394587891063,0.026374654013210142,0.033305248787864,0.040375962346341346
truncated_bayesian | a=1 | b=1 | critical_value=0.05,29,0.0007875412702560425,0.0001511323117893652,0.0004221568336138348,0.0007875412702560425,0.0010569626245320084,0.0014025082275582659,0.0018403368945398024,0.0023884201910208303,0.003066266945734516,0.003894471460530226,0.006085609584258066,0.009117812221237864,0.013099223173019325,0.018039318607317424,0.0237937118193515,0.03001850945003368,0.03615337612367585
truncated_bayesian | a=1 | b=1 | critical_value=0.05,32,0.0006021726876497269,0.00010296337303445116,0.00030938365153034355,0.0006021726876497269,0.0008240124650661453,0.00111350215301406,0.001486225295698488,0.001959719003702852,0.002553204333789114,0.0032871155807064983,0.005259531779232882,0.008031392573605316,0.011704429114275135,0.01627122672454696,0.021555927001673657,0.0271703133055336,0.03250902264112533
truncated_bayesian | a=1 | b=1 | critical_value=0.05,35,0.00046252310858108103,7.04649012571756e-05,0.00022776424505026527,0.00046252310858108103,0.0006453162224684514,0.0008880580491383954,0.0012056926547065684,0.0016152566013036595,0.0021356291245928946,0.0027870584359624044,0.004566197903341541,0.007106499273998548,0.010505569025559412,0.014742974506801761,0.019617147681685876,0.02470386010585934,0.0293645680588541
truncated_bayesian | a=1 | b=1 | critical_value=0.05,37,0.0007137145512388088,0.00010764631258707252,0.000350898277477814,0.0007137145512388088,0.0009953823732338704,0.0013681604839872912,0.0018537939027631742,0.0024765335901828158,0.0032625122041531605,0.004238750801006978,0.0068656730965812405,0.010527325818485879,0.015277277715411368,0.020966150361151,0.027171262669105502,0.033179880465560814,0.038062211520938416
truncated_bayesian | a=1 | b=1 | critical_value=0.05,40,0.00046381825359276263,6.233043341942368e-05,0.00021856485380528093,0.00046381825359276263,0.0006595377373990805,0.0009232051945093897,0.0012724019282879776,0.0017270417889354345,0.0023088903560103268,0.003040744202652735,0.005043147501895032,0.007881226856788714,0.011601822616018824,0.016072906445821825,0.020921358482005246,0.025524420624708097,0.0290887209335667
truncated_bayesian | a=1 | b=1 | critical_value=0.05,43,0.00033882683419506066,4.0570262015204224e-05,0.00015303335298453666,0.00033882683419506066,0.0004912426109062782,0.0007002709536528631,0.0009817340732528722,0.0013538425088552024,0.001836796956795519,0.0024520457366734327,0.004164155097235828,0.006632484891958443,0.009904057325178132,0.013850862381644019,0.018108255678324026,0.02207209950158335,0.024989749839446074
truncated_bayesian | a=1 | b=1 | critical_value=0.05,45,0.0005103625453273253,6.049841599325192e-05,0.0002301397637171597,0.0005103625453273253,0.0007396449137183251,0.0010531050171000598,0.0014734268511060002,0.0020261926041553594,0.0027390334907304663,0.003640242016806269,0.006111744196240546,0.009590660090935958,0.014058837772701014,0.019227387415620106,0.024482764690374102,0.02893766764396652,0.03161856759952143
