legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=1,31.0,498.0,499.0,498.0,498.0,496.0,493.0,488.0,480.0,461.0,442.0,417.0,157.0,89.0,58.0,41.0
bravo_without_replacement | p=0.55 | alpha=1,78.0,312.0,492.0,492.0,490.0,484.0,379.0,268.0,190.0,108.0,70.0,49.0,36.0,30.0,24.0,19.0
bravo_without_replacement | p=0.52 | alpha=1,107.0,235.0,323.0,329.0,311.0,268.0,217.0,168.0,129.0,82.0,56.0,41.0,33.0,27.0,21.0,19.0
