legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=1,6.0,13.0,474.0,478.0,476.0,470.0,462.0,451.0,437.0,63.0,31.0,21.0,16.0,11.0,8.0,8.0
bravo_without_replacement | p=0.55 | alpha=1,13.0,19.0,28.0,32.0,32.0,30.0,26.0,22.0,19.0,15.0,11.0,9.0,9.0,7.0,7.0,5.0
bravo_without_replacement | p=0.52 | alpha=1,19.0,25.0,31.0,31.0,29.0,27.0,23.0,21.0,19.0,15.0,11.0,9.0,9.0,7.0,7.0,5.0
