legend,0.5,0.52,0.55,0.57,0.59,0.62,0.7
clip     | alpha=0.05 | n_total=5000,500.0,500.0,500.0,286.0,175.0,100.0,37.0
bravo_without_replacement | alpha=0.05 | p=0.55,500.0,500.0,423.0,270.0,199.0,143.0,82.0
truncated_bayesian | critical_value=0.05 | a=1 | b=1,500.0,500.0,500.0,367.0,209.0,109.0,37.0
bayesian | critical_value=0.05 | a=1 | b=1,500.0,277.0,81.0,50.0,34.0,22.0,12.0
max_sprt | alpha=0.05,500.0,500.0,346.0,181.0,112.0,66.0,24.0
bravo    | alpha=0.05 | p=0.55,500.0,500.0,459.0,287.0,209.0,148.0,82.0
