legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.057583984374999994,47.0,59.0,74.0,82.0,94.0,107.0,127.0,152.0,182.0,255.0,293.0,268.0,198.0,132.0,94.0,72.0
bravo_without_replacement | p=0.55 | alpha=0.06831542968749998,305.0,414.0,445.0,451.0,454.0,454.0,449.0,441.0,424.0,363.0,282.0,217.0,175.0,144.0,123.0,106.0
bravo_without_replacement | p=0.52 | alpha=0.21562890624999997,432.0,467.0,473.0,473.0,471.0,469.0,461.0,452.0,438.0,380.0,305.0,246.0,201.0,173.0,151.0,130.0
