legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.057583984374999994,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,127.0,74.0,52.0,42.0,34.0,29.0
bravo_without_replacement | p=0.55 | alpha=0.06831542968749998,500.0,500.0,500.0,500.0,500.0,500.0,500.0,374.0,292.0,204.0,156.0,129.0,108.0,93.0,83.0,72.0
bravo_without_replacement | p=0.52 | alpha=0.21562890624999997,500.0,500.0,500.0,500.0,500.0,500.0,485.0,388.0,323.0,244.0,193.0,163.0,139.0,120.0,108.0,98.0
