legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
clip     | alpha=0.05,85.0,140.0,210.0,260.0,315.0,375.0,440.0,485.0,495.0,415.0,330.0,260.0,205.0,165.0,135.0,110.0
