legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,44.0,54.0,64.0,495.0,487.0,478.0,470.0,462.0,454.0,439.0,423.0,265.0,160.0,111.0,83.0,66.0
bravo_without_replacement | p=0.55 | alpha=0.05,200.0,270.0,349.0,495.0,486.0,472.0,410.0,357.0,309.0,244.0,200.0,165.0,141.0,123.0,107.0,98.0
bravo_without_replacement | p=0.51 | alpha=0.05,370.0,437.0,490.0,493.0,472.0,450.0,430.0,409.0,392.0,358.0,330.0,305.0,285.0,264.0,249.0,233.0
