legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,2000.0,2000.0,2000.0,2000.0,2000.0,1175.0,766.0,557.0,432.0,295.0,221.0,177.0,147.0,124.0,109.0,96.0
bayesian | a=500 | b=500 | critical_value=0.03222656250093554,2000.0,2000.0,2000.0,2000.0,1982.0,1221.0,873.0,675.0,551.0,399.0,313.0,258.0,219.0,190.0,168.0,149.0
bayesian | a=1000 | b=1000 | critical_value=0.055664062500888664,2000.0,2000.0,2000.0,2000.0,1951.0,1263.0,929.0,730.0,605.0,449.0,356.0,295.0,252.0,220.0,193.0,175.0
