,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,36,1.4551915228366852e-11,3.278313604087336e-13,3.3472222174247535e-12,1.4551915228366852e-11,2.968426770116938e-11,5.972007862845814e-11,1.1855812044597536e-10,2.3236748293662413e-10,4.4983870659592137e-10,8.605358587898143e-10,3.043741517681567e-09,1.0314424798490525e-08,3.35815565143732e-08,1.0531229166855724e-07,3.1884651867605744e-07,9.339440452561946e-07,2.6517308458596477e-06
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,38,1.3096723705530167e-10,2.9209774212418156e-12,3.007679995689187e-11,1.3096723705530167e-10,2.670515459468002e-10,5.366207385238735e-10,1.0631818009113289e-09,2.0779229794124663e-09,4.008062875769659e-09,7.633297281809168e-09,2.6692395613460275e-08,8.911663025895813e-08,2.8482532973230767e-07,8.735022720156817e-07,2.5757697164726624e-06,7.316144072918923e-06,2.004708519469894e-05
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,40,6.384652806445956e-10,1.4097367279268313e-11,1.4638980075018412e-10,6.384652806445956e-10,1.301355535976055e-09,2.611840458543397e-09,5.164352438836734e-09,1.0065043327678105e-08,1.9343913454183314e-08,3.6676466779636686e-08,1.2679421764305898e-07,4.1706582961192384e-07,1.308544529856168e-06,3.924471007712054e-06,1.1271053125341072e-05,3.104386253020957e-05,8.209281387229215e-05
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,42,2.2373569663614035e-09,4.890702033038471e-11,5.121691162246442e-10,2.2373569663614035e-09,4.558481602070791e-09,9.13795915095716e-09,1.803215312584049e-08,3.50449323987709e-08,6.710849975258982e-08,1.266736198272142e-07,4.329469839766892e-07,1.403052226797036e-06,4.321373244649107e-06,1.2674230060598679e-05,3.545237510235488e-05,9.468749536735649e-05,0.00024164756493690105
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,44,6.313541689451085e-09,1.3662940301485634e-10,1.4429647812866633e-09,6.313541689451085e-09,1.2858319884735172e-08,2.574492059354067e-08,5.070129796641401e-08,9.825950713365985e-08,1.874780797619461e-07,3.5230973840824125e-07,1.1904461802867442e-06,3.8008684823931704e-06,1.1491979117558932e-05,3.296110966479534e-05,8.979785268238123e-05,0.00023256763862148627,0.000572795346737307
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,46,1.5244893347698962e-08,3.2661092169478227e-10,3.478657261610337e-09,1.5244893347698962e-08,3.103571900295967e-08,6.206510105703682e-08,1.2198435502633558e-07,2.357422922564009e-07,4.4816406335288613e-07,8.384490570571e-07,2.8009050011968034e-06,8.810598550406022e-06,2.615058709556991e-05,7.33492416595235e-05,0.0001946256757122642,0.0004887868388526348,0.001161796610601816
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,49,1.6348938203236685e-08,3.120854841861955e-10,3.5756302992391358e-09,1.6348938203236685e-08,3.393543278298471e-08,6.911153521986439e-08,1.3816844828918171e-07,2.7129263405831003e-07,5.233956040234006e-07,9.925686636410572e-07,3.3951487407907193e-06,1.0884865180558756e-05,3.277204691619238e-05,9.279257481092525e-05,0.0002472988349430159,0.0006205009576192519,0.001465219158737324
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,51,3.602469522689944e-08,6.8079996814827e-10,7.866253611617289e-09,3.602469522689944e-08,7.474642100663549e-08,1.5204280589169351e-07,3.033565399462448e-07,5.939643075286491e-07,1.141763166195466e-06,2.155619074309728e-06,7.289652800099038e-06,2.3025286902874986e-05,6.805336562928875e-05,0.00018843711861883,0.0004891202882488285,0.0011900688877963426,0.0027120184382303167
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,53,6.786926420865314e-08,1.2697772651307905e-09,1.4796034730908767e-08,6.786926420865314e-08,1.4076331167198132e-07,2.8598501238708426e-07,5.694556504434759e-07,1.111846303614173e-06,2.1295314019212843e-06,4.00263084920841e-06,1.3381874253836725e-05,4.164368080370104e-05,0.0001208252525130717,0.0003271762320415565,0.0008271253793051038,0.0019514786731452476,0.004291852119816548
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,55,1.1813135181171219e-07,2.1880375677102002e-09,2.571236042747696e-08,1.1813135181171219e-07,2.449106979867324e-07,4.969811067009799e-07,9.876104084584783e-07,1.9228631306172457e-06,3.6695370416341475e-06,6.866544926846906e-06,2.269583956181979e-05,6.958447819512775e-05,0.00019819149869159308,0.0005248270918246723,0.0012922490559780695,0.002956478496941171,0.006275033784810209
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,57,1.9405275189510185e-07,3.558316718675809e-09,4.216976217907674e-08,1.9405275189510185e-07,4.0215052097795763e-07,8.150778352764073e-07,1.6164936739465876e-06,3.1384454700895084e-06,5.967619202586e-06,1.1117153262045682e-05,3.632772156216645e-05,0.00010973324951273484,0.0003068138295024702,0.0007945355683270951,0.0019053892018051474,0.004227155646951657,0.00865864604630217
bayesian | a=100 | b=100 | critical_value=0.010498046875979005,59,3.0410639817110563e-07,5.52059067237007e-09,6.597987305921581e-08,3.0410639817110563e-07,6.29971111694104e-07,1.2752913302319032e-06,2.5241402361930485e-06,4.8868827773814285e-06,9.25853022951617e-06,1.7171175985967998e-05,5.547294044233192e-05,0.0001650878929843225,0.00045312284696330746,0.0011475234290456238,0.0026802314265311953,0.005765976566824852,0.011398167223242337
