legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.08514047622680664,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,150.0,80.0,60.0,40.0,30.0,30.0
bravo_without_replacement | p=0.55 | alpha=0.088802734375,500.0,500.0,500.0,500.0,500.0,500.0,490.0,350.0,280.0,200.0,150.0,120.0,110.0,90.0,80.0,70.0
bravo_without_replacement | p=0.52 | alpha=0.24099414062499996,500.0,500.0,500.0,500.0,500.0,500.0,470.0,380.0,310.0,240.0,190.0,160.0,140.0,120.0,110.0,100.0
