legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,982.0,963.0,945.0,926.0,909.0,873.0,581.0,187.0,109.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,982.0,954.0,641.0,478.0,380.0,268.0,202.0,166.0,139.0,119.0,102.0,92.0
bravo_without_replacement | p=0.51 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,934.0,837.0,757.0,690.0,635.0,548.0,479.0,426.0,384.0,349.0,319.0,296.0
