legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,976.0,957.0,922.0,889.0,856.0,591.0,309.0,199.0,142.0
bravo_without_replacement | p=0.55 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,995.0,975.0,905.0,562.0,396.0,300.0,239.0,196.0,168.0,143.0
bravo_without_replacement | p=0.51 | alpha=0.05,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,994.0,908.0,825.0,697.0,602.0,528.0,470.0,423.0,384.0,351.0
