legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.08266483163833618,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,150.0,85.0,60.0,45.0,35.0,30.0
bravo    | p=0.55 | alpha=0.09660742187499999,500.0,500.0,500.0,500.0,500.0,500.0,500.0,360.0,280.0,190.0,145.0,120.0,100.0,85.0,80.0,65.0
bravo    | p=0.52 | alpha=0.26440820312499996,500.0,500.0,500.0,500.0,500.0,500.0,465.0,365.0,305.0,225.0,175.0,150.0,125.0,110.0,100.0,85.0
