legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo    | p=0.7 | alpha=0.08266483163833618,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,495.0,225.0,140.0,100.0,75.0
bravo    | p=0.55 | alpha=0.09660742187499999,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,385.0,270.0,205.0,165.0,135.0,115.0,100.0
bravo    | p=0.52 | alpha=0.26440820312499996,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0,385.0,285.0,230.0,185.0,160.0,140.0,120.0
