legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.057583984374999994,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,910.0,130.0,74.0,52.0,42.0,34.0,29.0
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,615.0,434.0,338.0,233.0,176.0,145.0,122.0,105.0,90.0,82.0
bravo_without_replacement | p=0.52 | alpha=0.13758203125,1000.0,1000.0,1000.0,1000.0,1000.0,916.0,670.0,528.0,437.0,325.0,258.0,213.0,183.0,158.0,140.0,128.0
