legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.057583984374999994,22.0,24.0,29.0,32.0,34.0,37.0,39.0,44.0,49.0,64.0,79.0,69.0,52.0,42.0,34.0,29.0
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,187.0,288.0,405.0,453.0,479.0,474.0,441.0,386.0,325.0,233.0,176.0,145.0,122.0,105.0,90.0,82.0
bravo_without_replacement | p=0.52 | alpha=0.13758203125,400.0,607.0,684.0,688.0,674.0,636.0,575.0,502.0,431.0,323.0,258.0,213.0,183.0,158.0,140.0,128.0
