legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.057583984374999994,82.0,112.0,147.0,167.0,200.0,240.0,301.0,386.0,517.0,819.0,913.0,865.0,590.0,326.0,205.0,145.0
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,525.0,896.0,976.0,982.0,984.0,984.0,982.0,972.0,942.0,733.0,491.0,357.0,275.0,220.0,185.0,155.0
bravo_without_replacement | p=0.52 | alpha=0.13758203125,908.0,989.0,993.0,995.0,993.0,991.0,987.0,975.0,940.0,733.0,534.0,412.0,335.0,278.0,238.0,207.0
