legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.057583984374999994,14.0,17.0,19.0,19.0,19.0,22.0,24.0,24.0,27.0,32.0,34.0,32.0,27.0,24.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,136.0,197.0,260.0,288.0,304.0,302.0,281.0,250.0,216.0,166.0,132.0,111.0,94.0,84.0,73.0,67.0
bravo_without_replacement | p=0.52 | alpha=0.13758203125,305.0,453.0,518.0,522.0,508.0,473.0,424.0,376.0,327.0,254.0,207.0,177.0,152.0,136.0,122.0,112.0
