legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.057583984374999994,32.0,39.0,47.0,52.0,57.0,64.0,74.0,84.0,102.0,155.0,208.0,170.0,110.0,74.0,57.0,47.0
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,252.0,424.0,604.0,667.0,699.0,695.0,655.0,581.0,487.0,327.0,239.0,189.0,153.0,130.0,111.0,99.0
bravo_without_replacement | p=0.52 | alpha=0.13758203125,524.0,778.0,841.0,845.0,833.0,802.0,745.0,664.0,567.0,412.0,319.0,260.0,217.0,187.0,165.0,146.0
