legend,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | alpha=0.057583984374999994,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,170.0,64.0,44.0,34.0,27.0,24.0,19.0,19.0
bravo_without_replacement | p=0.55 | alpha=0.051730468749999994,1000.0,1000.0,1000.0,1000.0,886.0,489.0,344.0,269.0,220.0,166.0,132.0,111.0,94.0,84.0,73.0,67.0
bravo_without_replacement | p=0.52 | alpha=0.13758203125,1000.0,1000.0,1000.0,1000.0,853.0,603.0,469.0,388.0,329.0,254.0,207.0,177.0,152.0,136.0,122.0,112.0
