,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,150,0.004974111931093375,6.551521938211707e-05,0.0010535876185758877,0.004974111931093375,0.009917266480755808,0.01870101582625816,0.03339197103038252,0.05652410828163091,0.09081783067813744,0.13868304170072196,0.27930197667157064,0.4684034353276912,0.6671548011901421,0.8291203075111239,0.9303361656627692,0.9781420097436377,0.9948915592741578
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,152,0.0007397236248110267,1.225698323625829e-05,0.000174165042557723,0.0007397236248110267,0.0013870269967204787,0.002443678444403802,0.00404660214099746,0.0062994345634257405,0.009219091899499833,0.012682183718531232,0.01990652263063166,0.02425777688354934,0.022786902994561622,0.01633277272070555,0.008809865061238936,0.0035120029402494254,0.0010109033290829211
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,154,0.0006428152822431244,1.0523439473126932e-05,0.00015100833057208338,0.0006428152822431244,0.0012051333047938594,0.0021210838759387874,0.0035058790119227665,0.005442865085378502,0.007937022851726736,0.010869933036117378,0.016865261051704016,0.02024032698785595,0.01865311438733012,0.013063530756908779,0.006855164158516039,0.002646131895104762,0.0007337398388236548
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,157,0.0002990741484616662,4.334675384164234e-06,6.718613726568884e-05,0.0002990741484616662,0.0005722607049973935,0.0010266741637808355,0.001727601064000348,0.002727132717845933,0.00403861250379569,0.005610000105373525,0.008921739556317155,0.010920565885100165,0.010213266286436859,0.007221244120325103,0.0038051208886517346,0.0014665481275098135,0.00040357925963534566
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,159,0.00036381319578677047,5.2093544554651804e-06,8.154418767549024e-05,0.00036381319578677047,0.0006960341285301133,0.001247485942881908,0.002095275707307613,0.0032985636889046096,0.004867375132736793,0.0067311401023649855,0.010581259777782836,0.012755451716379849,0.011703221614256477,0.008084891461074287,0.004144395376111754,0.0015465889729661148,0.0004099733549793179
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,162,0.00019544933988036565,2.477155680974805e-06,4.188918281486701e-05,0.00019544933988036565,0.00038165157402884306,0.0006972709061543947,0.0011923151095649465,0.0019086135530461909,0.0028601826506093526,0.0040119719009726815,0.006464597802571935,0.007948425521600353,0.007400854110547958,0.005161661235103471,0.002656876107920553,0.0009899411709983056,0.00026042093750538856
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,164,0.00025350532137673995,3.173979824772458e-06,5.4207457969547916e-05,0.00025350532137673995,0.0004949491105876438,0.0009033671075406683,0.0015418798354118921,0.002461499092481436,0.00367553049582052,0.005132713943410128,0.00817504214000319,0.009898889022584099,0.009042068507537027,0.006161459489475718,0.0030851658499276686,0.0011129617949363374,0.00028201176868692177
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,167,0.00014251900785049957,1.5791037507621485e-06,2.913833976179581e-05,0.00014251900785049957,0.0002840152567042981,0.0005284308958412014,0.0009182706746221402,0.0014906450783634048,0.0022605307353828104,0.003201965375996477,0.005227678810838503,0.0064564901724810065,0.005985141946329607,0.004117464652259567,0.002070214126821314,0.0007456438553716758,0.00018749428098529625
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,169,0.00018995868537991723,2.0790509634029973e-06,3.8747699944489365e-05,0.00018995868537991723,0.0003785055478249058,0.0007035433342209873,0.0012203156848922256,0.00197560102113603,0.0029852489330908067,0.0042096837818547716,0.006793573631768965,0.008262980399598812,0.007514252682624365,0.00505051996283802,0.002470114603465552,0.0008613400905067199,0.00020860460163002063
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,172,0.00010920631515954916,1.057502507133884e-06,2.1297146267410265e-05,0.00010920631515954916,0.0002221114518286254,0.000420867939889661,0.0007432514237000126,0.0012235686405306571,0.0018777401213811446,0.002685916441908945,0.0044432946966570085,0.005512450837268599,0.0050874002590045484,0.0034521252932604527,0.00169532770761267,0.0005902224047661315,0.00014184638509735344
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,174,0.00014778018075513804,1.4134744173422351e-06,2.875246307628077e-05,0.00014778018075513804,0.00030052957448687415,0.0005689014319854989,0.0010028312176928495,0.001646437585669463,0.0025176660737539144,0.0035852351175403602,0.005862516050042237,0.007162563158960398,0.006484570882128573,0.004298861420234329,0.0020535185993942875,0.000692117316549653,0.00016019428843868912
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,177,8.609668655268815e-05,7.284377862285092e-07,1.601396683631945e-05,8.609668655268815e-05,0.0001787237625069564,0.00034490693069507376,0.0006190327778961174,0.0010334936148683246,0.0016050794787670368,0.002318531892035515,0.003886492230984222,0.004843434767981353,0.004450141605603217,0.0029784279426045583,0.0014286110266384878,0.00048071706730453453,0.00011040631119813786
bravo_without_replacement | p=0.7 | min_stop=150 | alpha=1,179,0.00011764373751147995,9.83066358380353e-07,2.1830159260371322e-05,0.00011764373751147995,0.00024418339412864555,0.0004707751433301648,0.0008433896287997936,0.0014042634137791613,0.002173119467560681,0.003125089317681231,0.005177953916369429,0.006354664126688989,0.005727499245148745,0.0037449543157637077,0.001747165012418859,0.0005691229597992974,0.00012587723663808073
