,,0.5,0.45,0.48,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.58,0.6,0.62,0.64,0.66,0.68,0.7
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,5,0.03118750626250924,0.018407717164905437,0.0254251980276055,0.03118750626250924,0.034436230952334126,0.03795021493781334,0.041745380329283016,0.04583827400574219,0.050246079638883896,0.05498662971712673,0.0655406093904036,0.07765630618061517,0.09150096384840804,0.10725336152903364,0.125104198501347,0.14525647895680618,0.16792589676847222
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,10,0.03894720981697936,0.019801528595706604,0.030083141541651853,0.03894720981697936,0.04405859364427994,0.049655047178684276,0.05575900305383471,0.062391046073055255,0.06956946762540069,0.07730979086948409,0.09452135355380085,0.11407484216373753,0.13594049888526671,0.15999078085459492,0.18598101268030834,0.213530376638456,0.24210420552503487
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,15,0.026297080177526334,0.011776537795683547,0.019426576382914448,0.026297080177526334,0.03032695055288404,0.03477463672748834,0.03965094319686583,0.044961453448514044,0.050705663411287974,0.056876124373072226,0.07042638428042639,0.08538400019939257,0.10136505487848729,0.117819322840491,0.13403262215006959,0.14914583376170687,0.16219360439575792
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,20,0.017909269266385634,0.0070670932825721506,0.012655673297855994,0.017909269266385634,0.02105339989089826,0.024558948217607294,0.028430786075110168,0.032666328165288847,0.03725438297149879,0.04217410268357844,0.05287170386641915,0.06437098817484184,0.07609925434145057,0.08731639886662354,0.09716106237924477,0.10472706949878689,0.10916643117436935
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,25,0.01262971804634695,0.004390395303308848,0.008536569123123589,0.01262971804634695,0.015134794132353021,0.017961028219977547,0.021111065764061274,0.02457854262193298,0.028346680507232457,0.03238709200137089,0.04110822564290002,0.050259864408926574,0.059167376796962316,0.06701454444783467,0.0729362295109483,0.07614504284777876,0.07607356886435195
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,30,0.009188877618585261,0.002813119455828539,0.005940015336065033,0.009188877618585261,0.011225473665108702,0.01355331981383803,0.016174916585877042,0.01908264029694944,0.022257065751372863,0.025665615391843855,0.032984398057831675,0.040498716380809194,0.04747673566358021,0.053081085101044624,0.05650477412918271,0.05713471519434107,0.0547053390019702
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,35,0.006856867621633204,0.0018481473657567735,0.004238767857383721,0.006856867621633204,0.008539806045322642,0.010490455701762715,0.012712339095947149,0.015198056580801738,0.01792730433856111,0.020865333269836223,0.02715204929679866,0.03348029668888808,0.039085413637613545,0.043136614009585975,0.04491124879709692,0.04398158265263284,0.040356421352905444
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,40,0.005222021319093527,0.0012388178313550364,0.003086712079931429,0.005222021319093527,0.006630722102118546,0.00828763665072486,0.010197954707244269,0.0123553967342746,0.014739893200902403,0.017315810504600834,0.02281701481163989,0.028256034757784283,0.032849393389172206,0.03578728725033017,0.036441098598084046,0.034561230823342226,0.03038886935212267
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,45,0.0040434016521146265,0.0008440136383317952,0.0022850940574991206,0.0040434016521146265,0.005234657314545024,0.0066573157647757284,0.008318568176420663,0.010213799444193431,0.012323898371163398,0.014613206607742275,0.01949920074401538,0.02425184327003203,0.028077244455985112,0.030194057216495658,0.0300694325800933,0.027617450720753285,0.02326810448664515
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,50,0.012963064619276298,0.0028338329905354866,0.007502949279364966,0.012963064619276298,0.01653865653221134,0.020691113706482325,0.02538775312840807,0.03055393623994943,0.036069363565151134,0.041768049975375074,0.05285447089136111,0.061860901859071483,0.06685469254932203,0.06654643452709956,0.06079257601442857,0.05072827784461258,0.03842789598009902
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,55,0.005477576200536201,0.0010818335801044546,0.003065379024892899,0.005477576200536201,0.007082833896683893,0.008960367317570609,0.011091951123608237,0.013436746501165175,0.01592951123150041,0.018481121436495346,0.023307647015803037,0.02692124916790356,0.02841856827209583,0.02733076667053737,0.023843037467973383,0.018760507465831605,0.013215554083284778
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,60,0.003823634177624291,0.0006645981401859354,0.0020460941376676885,0.003823634177624291,0.00504052614232629,0.006487685269942176,0.008154276226463338,0.010009340114023074,0.011999627728607154,0.014049647012381036,0.01793542377982289,0.020795527931493658,0.02184836758257881,0.02072724874193624,0.01767073281525993,0.013452690982539279,0.009070991862004427
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,65,0.002861807213795694,0.00043740660998899377,0.0014638807741286033,0.002861807213795694,0.003846705463168311,0.005038088998907317,0.006430469607527912,0.007999525194846615,0.009699474859039069,0.011462661180316797,0.014816452498208326,0.01725051772333218,0.01804403260370624,0.01689167175413711,0.014077824357599224,0.010373199468522087,0.006697592103298642
bayesian_with_replacement | a=1 | b=1 | critical_value=0.05,70,0.009011237886541939,0.0014422291189286865,0.00472076218196409,0.009011237886541939,0.011936510381075965,0.015378504945388418,0.01927360433208225,0.02349976224374782,0.027875756320205444,0.032168777378986574,0.03942438235262027,0.04318248718819159,0.04214968647433405,0.03650707282047323,0.02789617270298939,0.018664063924301318,0.010827521120661798
